Fecha;Lugar;Provincia;Temp. Máx;Hora Máx;Temp. Min;Hora Min;Precipitación
;San Sebasti�n Aeropuerto;Gipuzkoa;18.1;14:00;9.6;14:00;0.0
;Renteria;Gipuzkoa;15.9;14:40;7.0;14:40;4.4
;Beasain;Gipuzkoa;15.4;12:30;7.7;12:30;2.8
;Ordizia;Gipuzkoa;15.9;12:30;8.3;12:30;2.8
;Zumarraga;Gipuzkoa;12.9;10:30;6.7;10:30;3.3
;Zumaia;Gipuzkoa;17.3;11:30;10.0;11:30;6.2
;Aretxabaleta;Gipuzkoa;13.3;13:20;6.8;13:20;2.5
;Elgeta;Gipuzkoa;12.7;12:50;8.0;12:50;5.8
;Elgoibar;Gipuzkoa;13.2;16:50;7.6;16:50;4.0
;Mutriku;Gipuzkoa;15.9;14:40;12.6;14:40;6.0
;Blanes;Girona;22.7;13:50;13.7;13:50;0.0
;Castell, Platja d'Aro;Girona;21.1;12:40;8.3;12:40;0.0
;Sant Pau de Seg�ries;Girona;20.3;15:00;1.3;15:00;0.0
;Planoles;Girona;19.5;14:10;5.3;14:10;0.0
;Ripoll;Girona;19.5;14:00;1.8;14:00;0.0
;Les Planes d'Hostoles;Girona;23.5;15:10;3.9;15:10;0.0
;Sant Hilari;Girona;19.1;14:50;5.7;14:50;0.0
;Girona;Girona;25.0;13:50;9.0;13:50;0.0
;Porqueres;Girona;24.9;14:40;7.2;14:40;0.0
;L'Estartit;Girona;19.8;15:50;10.5;15:50;0.0
;La Vall de Bianya;Girona;21.9;14:20;4.6;14:20;0.0
;Castell� d'Emp�ries;Girona;24.2;15:10;6.6;15:10;0.0
;Ma�anet de Cabrenys;Girona;23.1;14:40;6.7;14:40;0.0
;Espolla;Girona;24.1;11:50;10.2;11:50;0.0
;Figueres;Girona;23.5;12:30;10.1;12:30;0.0
;La Molina;Girona;14.7;14:00;2.9;14:00;0.0
;Baza;Granada;23.6;16:30;5.8;16:30;0.0
;D�lar;Granada;21.7;15:50;8.2;15:50;0.0
;Granada-Cartuja;Granada;26.3;16:00;10.5;16:00;0.0
;Granada Aeropuerto;Granada;26.7;16:40;7.6;16:40;0.0
;Loja;Granada;24.7;14:50;11.9;14:50;0.0
;Lanjar�n;Granada;22.1;14:40;9.6;14:40;0.0
;Salobre�a;Granada;24.8;13:40;15.0;13:40;0.0
;Motril;Granada;26.6;10:00;15.2;10:00;0.0
;Motril, Puerto;Granada;28.0;11:20;15.0;11:20;0.0
;Castell de Ferro;Granada;23.4;12:40;16.3;12:40;0.0
;V�lor;Granada;22.1;13:20;11.1;13:20;0.0
;Molina de Arag�n;Guadalajara;19.7;16:20;-2.8;16:20;0.0
;Zaorejas;Guadalajara;18.7;15:00;1.6;15:00;0.0
;Pastrana;Guadalajara;22.1;15:20;7.9;15:20;0.0
;Pantano el Vado;Guadalajara;23.1;15:00;5.2;15:00;0.0
;Sig�enza;Guadalajara;19.6;15:40;-1.4;15:40;0.0
;Guadalajara;Guadalajara;22.6;15:20;7.2;15:20;0.0
;Brihuega;Guadalajara;20.8;14:40;4.5;14:40;0.0
;El Pedregal;Guadalajara;17.7;14:40;2.2;14:40;0.0
;Aroche;Huelva;28.6;15:40;6.7;15:40;0.0
;El Granado;Huelva;28.9;16:10;9.7;16:10;0.0
;Ayamonte;Huelva;25.0;14:30;11.3;14:30;0.0
;Cartaya;Huelva;24.1;15:00;11.6;15:00;0.0
;Alajar;Huelva;27.7;14:50;13.0;14:50;0.0
;Valverde del Camino;Huelva;27.7;15:40;11.1;15:40;0.0
;El Cerro de And�valo;Huelva;29.3;16:20;14.1;16:20;0.0
;Alosno, Tharsis;Huelva;28.2;16:10;13.4;16:10;0.0
;El Campillo;Huelva;26.8;16:40;13.7;16:40;0.0
;Villarrasa;Huelva;28.7;15:30;11.9;15:30;0.0
;Huelva, Ronda Este;Huelva;28.4;16:30;12.4;16:30;0.0
;Cala;Huelva;23.4;16:00;10.0;16:00;0.0
;Almonte;Huelva;27.7;14:40;8.8;14:40;0.0
;Moguer, El Arenosillo;Huelva;24.4;12:20;13.6;12:20;0.2
;Canfranc;Huesca;14.4;14:50;7.1;14:50;0.0
;Jaca;Huesca;18.0;14:40;1.2;14:40;0.0
;Valle de Hecho, Hecho;Huesca;18.8;13:20;3.7;13:20;0.0
;Arag��s del Puerto;Huesca;20.2;15:00;5.9;15:00;0.0
;Bailo;Huesca;18.3;14:00;3.4;14:00;0.0
;Biescas;Huesca;18.7;14:30;4.8;14:30;0.0
;Sabi��nigo;Huesca;18.4;14:30;-0.2;14:30;0.0
;Almud�var;Huesca;21.0;15:00;4.8;15:00;0.0
;Sopeira;Huesca;20.5;14:30;5.8;14:30;0.0
;Benabarre;Huesca;17.6;14:10;4.3;14:10;0.0
;Bielsa;Huesca;21.0;12:10;6.1;12:10;0.0
;Ainsa;Huesca;19.0;14:30;4.5;14:30;0.0
;Torla - Dep�sito;Huesca;23.1;13:20;6.3;13:20;0.0
;Benasque;Huesca;19.7;11:50;12.2;11:50;0.0
;Seira;Huesca;21.1;15:40;1.1;15:40;0.0
;Capella;Huesca;17.8;15:10;3.9;15:10;0.0
;Barbastro;Huesca;22.5;16:10;3.1;16:10;0.0
;Sari�ena, Dep�sito agua;Huesca;21.5;16:00;5.1;16:00;0.0
;Huesca Aeropuerto;Huesca;20.4;15:40;4.7;15:40;0.0
;Huesca;Huesca;20.9;14:50;4.9;14:50;0.0
;Lanaja;Huesca;20.4;15:20;7.0;15:20;0.0
;Ballobar;Huesca;19.9;15:10;5.8;15:10;0.0
;Tamarite de Litera;Huesca;20.7;16:30;3.5;16:30;0.0
;Fraga;Huesca;21.7;17:00;8.4;17:00;0.0
;Escorca, Lluc;Illes Balears;21.1;12:20;8.3;12:20;0.0
;Banyalbufar;Illes Balears;21.3;12:10;15.2;12:10;0.0
;Calvi�, Es Capdell�;Illes Balears;23.6;15:30;12.7;15:30;0.2
;Palma, Puerto;Illes Balears;23.6;12:30;15.5;12:30;0.0
;Palma, Universitat;Illes Balears;24.3;13:00;10.0;13:00;0.0
;Sierra de Alfabia, Bunyola;Illes Balears;17.1;13:00;9.3;13:00;0.0
;Marratx�;Illes Balears;23.8;16:00;12.9;16:00;0.0
;Palma de Mallorca, Aeropuerto;Illes Balears;23.3;13:30;10.6;13:30;0.0
;Llucmajor, Cap Blanc;Illes Balears;23.4;12:50;16.3;12:50;0.0
;Llucmajor;Illes Balears;23.3;13:40;12.5;13:40;0.0
;Campos, Can Sion;Illes Balears;24.0;13:30;9.9;13:30;0.0
;Campos, Salines Llevant;Illes Balears;22.8;13:40;9.4;13:40;0.0
;Santany�;Illes Balears;23.5;13:30;13.3;13:30;0.0
;Portocolom;Illes Balears;24.1;13:10;14.9;13:10;0.0
;Son Servera;Illes Balears;26.9;14:30;11.5;14:30;0.0
;Art�;Illes Balears;24.8;14:20;11.0;14:20;0.0
;Art�-Col�nia de Sant Pere;Illes Balears;24.5;14:00;15.6;14:00;0.0
;Muro, S'Albufera;Illes Balears;25.3;14:50;11.2;14:50;0.0
;Manacor;Illes Balears;23.6;13:50;11.5;13:50;0.0
;Sineu;Illes Balears;23.0;12:30;11.9;12:30;0.0
;Santa Mar�a del Cam�;Illes Balears;23.2;16:40;10.8;16:40;0.0
;Binissalem;Illes Balears;22.8;13:30;9.8;13:30;0.0
;Escorca, Son Torrella;Illes Balears;17.6;11:50;7.2;11:50;0.0
;Sa Pobla;Illes Balears;24.9;14:20;10.6;14:20;0.0
;Pollen�a;Illes Balears;27.8;12:30;11.4;12:30;0.0
;Port de Pollen�a;Illes Balears;26.3;13:10;12.2;13:10;0.0
;Es Mercadal;Illes Balears;23.2;12:30;14.8;12:30;0.0
;Ciutadella, Cala Galdana;Illes Balears;23.5;13:10;11.5;13:10;0.0
;Menorca, Aeropuerto;Illes Balears;23.5;14:30;14.2;14:30;0.0
;Sant Joan de Labritja;Illes Balears;21.5;12:30;10.4;12:30;0.8
;Ibiza, Aeropuerto;Illes Balears;21.9;15:20;13.5;15:20;0.5
;Eivissa;Illes Balears;22.4;14:50;13.3;14:50;1.6
;Formentera;Illes Balears;22.4;09:40;14.6;09:40;0.5
;Baeza;Ja�n;25.5;15:00;11.3;15:00;0.0
;Torres;Ja�n;21.1;14:50;11.4;14:50;0.0
;Villanueva del Arzobispo;Ja�n;24.4;15:00;9.3;15:00;0.0
;Santa Elena;Ja�n;21.2;15:30;11.3;15:30;0.0
;Ja�n;Ja�n;23.2;15:30;13.3;15:30;0.0
;Linares;Ja�n;23.4;15:20;13.2;15:20;0.0
;Bail�n;Ja�n;25.5;14:20;11.3;14:20;0.0
;Alcal� La Real;Ja�n;22.5;14:10;10.6;14:10;0.0
;Valdezcaray, estaci�n de esqu�;La Rioja;10.2;10:40;4.2;10:40;0.8
;Haro;La Rioja;14.6;14:50;6.7;14:50;0.0
;Anguiano;La Rioja;13.1;14:10;2.9;14:10;0.4
;N�jera;La Rioja;15.2;14:20;6.8;14:20;0.0
;Cenicero;La Rioja;16.6;13:30;8.2;13:30;0.0
;Logro�o Aeropuerto;La Rioja;18.1;14:40;8.7;14:40;0.0
;Enciso;La Rioja;15.5;13:20;3.3;13:20;0.0
;Alfaro;La Rioja;19.2;14:20;9.7;14:20;0.0
;T�as;Las Palmas;25.3;12:10;16.2;12:10;0.0
;Yaiza Playa Blanca;Las Palmas;25.7;15:50;17.0;15:50;0.0
;Lanzarote Aeropuerto;Las Palmas;26.9;16:30;17.0;16:30;0.0
;Har�a;Las Palmas;25.3;14:50;14.9;14:50;0.0
;Tinajo;Las Palmas;23.4;11:50;17.3;11:50;0.0
;P�jara;Las Palmas;32.5;09:10;23.5;09:10;0.0
;Tuineje,Puerto Gran Tarajal;Las Palmas;27.0;16:10;20.9;16:10;0.0
;Antigua;Las Palmas;27.5;13:00;15.4;13:00;0.0
;Fuerteventura Aeropuerto;Las Palmas;24.9;13:50;20.4;13:50;0.0
;La Oliva;Las Palmas;26.1;13:10;17.6;13:10;0.0
;La Oliva, Puerto de Corralejo;Las Palmas;24.6;11:00;20.3;11:00;0.0
;Vega de San Mateo;Las Palmas;21.1;12:30;13.0;12:30;0.0
;Tejeda, Cruz de Tejeda;Las Palmas;22.0;13:30;14.6;13:30;0.0
;Agaete;Las Palmas;27.5;15:20;21.1;15:20;0.0
;La Aldea de San Nicol�s;Las Palmas;29.2;13:50;13.4;13:50;0.0
;San Bartolome Tirajana, Cuevas del Pinar;Las Palmas;24.1;12:00;17.4;12:00;0.0
;San Bartolome Tirajana, Lomo Pedro Alfonso;Las Palmas;29.2;13:50;20.8;13:50;0.0
;La Aldea de San Nicol�s, Tasarte;Las Palmas;30.2;12:50;18.8;12:50;0.0
;Mog�n, Puerto Rico;Las Palmas;28.1;10:10;21.1;10:10;0.0
;San Bartolome Tirajana, Las Tirajanas;Las Palmas;29.2;12:20;17.6;12:20;0.0
;Maspalomas, C. Insular Turismo;Las Palmas;26.8;12:20;20.2;12:20;0.0
;San Bartolome Tirajana, El Matorral;Las Palmas;26.4;11:40;19.7;11:40;0.0
;Ag�imes;Las Palmas;30.1;10:50;18.3;10:50;0.0
;Telde, Centro Forestal Doramas;Las Palmas;25.9;11:20;16.1;11:20;0.0
;Gran Canaria Aeropuerto;Las Palmas;25.0;13:20;20.2;13:20;0.0
;Telde, Melenara;Las Palmas;24.5;13:30;19.4;13:30;0.0
;Teror;Las Palmas;28.3;12:10;11.4;12:10;0.0
;Las Palmas de Gran Canaria, Tafira;Las Palmas;24.6;12:00;17.1;12:00;0.0
;Las Palmas de Gran Canaria, San Cristobal;Las Palmas;25.2;11:30;20.0;11:30;0.0
;Las Palmas de Gran Canaria, Pl. de la Feria;Las Palmas;25.2;14:30;21.3;14:30;0.0
;Valleseco;Las Palmas;28.5;14:20;15.8;14:20;0.0
;Arucas;Las Palmas;23.9;12:00;16.8;12:00;0.0
;Maspalomas;Las Palmas;27.2;12:20;18.0;12:20;0.0
;Teguise;Las Palmas;25.2;13:50;19.0;13:50;0.0
;Posada de Valde�n, Soto;Le�n;13.5;15:10;1.1;15:10;0.0
;Villablino;Le�n;20.9;13:30;-0.8;13:30;0.0
;Ponferrada;Le�n;24.6;16:50;4.6;16:50;0.0
;Vega de Espinareda;Le�n;25.8;14:40;5.0;14:40;0.0
;Ria�o;Le�n;17.3;14:00;-1.3;14:00;0.0
;Cubillas de Rueda;Le�n;21.0;14:40;-0.1;14:40;0.0
;Le�n, Virgen del Camino;Le�n;21.6;16:20;4.0;16:20;0.0
;Valencia de Don Juan;Le�n;20.5;15:30;1.6;15:30;0.0
;Barrios de Luna, Mi�era;Le�n;18.6;11:20;1.7;11:20;0.0
;Quintana del Castillo, Villameca;Le�n;19.0;13:40;5.9;13:40;0.0
;Astorga;Le�n;23.3;15:50;4.0;15:50;0.0
;Bustillo del P�ramo;Le�n;21.7;15:30;1.6;15:30;0.0
;Martinet;Lleida;23.3;15:20;-1.5;15:20;0.0
;La Seu d'Urgell;Lleida;22.6;15:30;-0.7;15:30;0.0
;Josa i Tuix�n;Lleida;20.3;14:50;1.6;14:50;0.0
;Coll de Narg�;Lleida;16.3;15:50;2.4;15:50;0.0
;Tor�;Lleida;16.6;15:40;1.7;15:40;0.0
;Artesa de Segre;Lleida;17.5;15:30;4.1;15:30;0.0
;Talarn;Lleida;21.1;15:20;6.5;15:20;0.0
;Llimiana;Lleida;21.5;16:00;5.7;16:00;0.0
;Granyanella;Lleida;16.2;15:50;6.1;15:50;0.0
;T�rrega;Lleida;16.3;15:30;5.4;15:30;0.0
;Os de Balaguer;Lleida;18.9;16:20;4.1;16:20;0.0
;Mollerussa;Lleida;18.6;15:40;5.5;15:40;0.0
;Vall de Bo�;Lleida;20.8;13:30;5.8;13:30;0.0
;Lleida;Lleida;19.9;16:10;5.9;16:10;0.0
;La Pobla de C�rvoles;Lleida;17.0;14:40;6.7;14:40;0.0
;El Soler�s;Lleida;18.8;16:10;8.1;16:10;0.0
;Naut Aran, Arties;Lleida;16.1;14:20;0.9;14:20;0.0
;Boss�st;Lleida;14.7;14:30;0.7;14:30;0.0
;Cervantes;Lugo;16.4;15:50;5.0;15:50;0.0
;Ribadeo;Lugo;17.4;10:30;11.9;10:30;0.0
;Mondo�edo;Lugo;17.1;11:50;12.9;11:50;0.0
;Burela;Lugo;17.1;11:00;15.6;11:00;0.0
;Lugo Aeropuerto;Lugo;17.8;14:30;8.5;14:30;0.0
;Lugo;Lugo;18.2;13:30;6.6;13:30;0.0
;O P�ramo;Lugo;19.1;13:50;4.7;13:50;0.0
;Becerre�;Lugo;14.8;14:40;6.5;14:40;0.0
;O Savi�ao;Lugo;18.1;14:40;9.8;14:40;0.0
;Folgoso do Courel;Lugo;19.3;16:40;5.2;16:40;0.0
;Monforte de Lemos;Lugo;23.4;15:40;6.3;15:40;0.0
;Puerto de Navacerrada;Madrid;15.1;13:30;5.9;13:30;0.0
;Rascafr�a;Madrid;23.2;14:10;-0.2;14:10;0.0
;Buitrago del Lozoya;Madrid;21.6;12:50;2.3;12:50;0.0
;Somosierra;Madrid;15.1;14:40;3.4;14:40;0.0
;Madrid, El Goloso;Madrid;21.2;13:40;4.9;13:40;0.0
;Madrid Aeropuerto;Madrid;24.1;15:40;5.1;15:40;0.0
;Alcala de Henares;Madrid;23.6;14:40;4.1;14:40;0.0
;Arganda del Rey;Madrid;24.7;15:20;6.3;15:20;0.0
;Colmenar Viejo;Madrid;20.7;16:40;8.9;16:40;0.0
;Madrid, Ciudad Universitaria;Madrid;23.7;15:40;4.2;15:40;0.0
;Pozuelo de Alarc�n;Madrid;24.8;16:30;3.3;16:30;0.0
;Madrid, Retiro;Madrid;22.1;16:10;10.2;16:10;0.0
;Tielmes;Madrid;23.2;16:10;6.0;16:10;0.0
;Puerto Alto del Le�n;Madrid;13.9;14:00;3.0;14:00;0.0
;Alpedrete;Madrid;25.2;14:40;5.9;14:40;0.0
;Torrelodones;Madrid;23.5;16:00;6.1;16:00;0.0
;Rozas de Puerto Real;Madrid;22.3;15:20;7.7;15:20;0.0
;Robledo de Chavela;Madrid;23.3;14:30;6.7;14:30;0.0
;Valdemorillo;Madrid;22.9;15:50;7.6;15:50;0.0
;Ronda Instituto;M�laga;25.6;15:20;12.7;15:20;0.0
;Cortes de la Frontera;M�laga;23.5;13:30;11.2;13:30;0.0
;Alpandeire;M�laga;24.9;15:20;13.8;15:20;0.0
;Estepona;M�laga;23.6;14:10;16.8;14:10;0.0
;Benahavis;M�laga;21.3;14:10;12.7;14:10;0.0
;Marbella, Puerto;M�laga;23.1;15:40;16.7;15:40;0.0
;Marbella;M�laga;22.1;17:10;18.0;17:10;0.0
;Fuengirola;M�laga;22.4;15:00;18.0;15:00;0.0
;Torremolinos;M�laga;24.2;15:20;16.0;15:20;0.0
;�lora;M�laga;25.7;16:00;14.4;16:00;0.0
;Co�n;M�laga;25.1;14:20;14.3;14:20;0.0
;M�laga Aeropuerto;M�laga;24.4;15:40;15.1;15:40;0.0
;M�laga, Centro Meteorol�gico;M�laga;25.7;14:10;16.3;14:10;0.0
;M�laga, Puerto;M�laga;23.9;12:10;17.3;12:10;0.0
;Rincon de la Victoria;M�laga;25.6;15:20;18.1;15:20;0.0
;V�lez-M�laga;M�laga;26.1;13:50;14.5;13:50;0.0
;Algarrobo;M�laga;23.6;12:10;15.5;12:10;0.0
;Nerja;M�laga;23.8;14:30;16.5;14:30;0.0
;Fuente de Piedra;M�laga;25.5;16:40;12.6;16:40;0.0
;Melilla;Melilla;23.1;12:20;16.5;12:20;0.0
;�guilas;Murcia;23.8;10:50;16.9;10:50;0.2
;Mazarr�n;Murcia;24.8;13:20;16.2;13:20;0.0
;Cartagena;Murcia;23.2;11:30;14.1;11:30;0.0
;Fuente �lamo de Murcia;Murcia;24.4;15:20;14.4;15:20;0.0
;Torre-Pacheco;Murcia;25.4;14:40;14.1;14:40;0.0
;San Javier Aeropuerto;Murcia;25.0;12:00;14.9;12:00;0.0
;Moratalla;Murcia;19.9;14:40;9.2;14:40;0.0
;Caravaca de La Cruz;Murcia;23.2;12:20;9.4;12:20;0.0
;Calasparra;Murcia;23.2;16:10;11.7;16:10;0.0
;Bullas;Murcia;21.5;15:00;12.0;15:00;0.0
;Jumilla;Murcia;23.0;14:50;11.0;14:50;0.0
;Archena;Murcia;25.1;15:10;14.0;15:10;0.0
;Mula;Murcia;23.6;16:30;11.7;16:30;0.0
;Murcia;Murcia;26.3;15:30;15.5;15:30;0.0
;Caravaca de La Cruz, Los Royos;Murcia;20.7;14:20;7.1;14:20;0.0
;Lorca, Zarcilla de Ramos;Murcia;22.1;13:40;9.8;13:40;0.0
;Lorca;Murcia;23.6;14:30;12.3;14:30;0.0
;Puerto Lumbreras;Murcia;23.8;14:30;14.4;14:30;0.0
;Totana;Murcia;23.9;14:10;14.8;14:10;0.0
;Alhama de Murcia;Murcia;26.0;14:20;14.2;14:20;0.0
;Molina de Segura;Murcia;23.9;14:10;13.2;14:10;0.0
;Abanilla;Murcia;24.7;15:20;13.5;15:20;0.0
;Yecla;Murcia;22.3;15:30;9.0;15:30;0.0
;Baztan, Irurita;Navarra;15.4;15:00;4.6;15:00;1.1
;Bera;Navarra;16.5;14:40;8.3;14:40;5.6
;Areso;Navarra;13.9;12:50;7.8;12:50;4.6
;Los Arcos;Navarra;19.6;13:10;7.2;13:10;0.0
;Isaba/Izaba;Navarra;15.6;11:20;3.4;11:20;0.0
;Oroz-Betelu/Orotz-Betelu;Navarra;13.7;13:50;8.9;13:50;0.0
;Roncesvalles;Navarra;11.0;13:30;5.7;13:30;4.8
;Navascu�s/Nabaskoze;Navarra;17.2;15:10;0.9;15:10;0.0
;C�seda;Navarra;17.8;13:10;9.8;13:10;0.0
;Olite/Erriberri;Navarra;16.9;14:10;10.5;14:10;0.0
;Esteribar, Eugui;Navarra;14.4;12:40;6.7;12:40;1.0
;Monreal/Elo;Navarra;14.7;14:00;8.1;14:00;0.0
;Pamplona Aeropuerto;Navarra;16.3;12:40;9.2;12:40;0.0
;Aranguren, Ilundain;Navarra;15.3;14:20;6.8;14:20;0.0
;Irurtzun;Navarra;15.2;13:30;9.4;13:30;0.4
;Larraga;Navarra;18.0;13:50;7.9;13:50;0.0
;Bardenas Reales, Base A�rea;Navarra;18.5;14:00;10.7;14:00;0.0
;Monteagudo;Navarra;18.4;15:20;11.4;15:20;0.0
;Tudela;Navarra;19.0;14:40;10.6;14:40;0.0
;Luzaide/Valcarlos;Navarra;14.4;13:50;6.8;13:50;4.4
;O Barco de Valdeorras;Ourense;21.3;16:40;5.9;16:40;0.0
;A Pobra de Trives;Ourense;20.5;13:30;5.6;13:30;0.0
;Ourense;Ourense;24.4;16:00;7.2;16:00;0.0
;Beariz;Ourense;23.0;14:00;3.8;14:00;0.0
;Carballi�o, O;Ourense;23.9;16:00;4.6;16:00;0.0
;Ribadavia;Ourense;24.3;17:00;6.8;17:00;0.0
;Allariz;Ourense;20.1;15:30;4.3;15:30;0.0
;Xinzo de Limia;Ourense;20.9;14:10;-0.4;14:10;0.0
;Mui�os;Ourense;21.7;13:50;6.5;13:50;0.0
;A Gudi�a;Ourense;21.3;15:10;8.4;15:10;0.0
;Ver�n;Ourense;24.7;15:50;3.1;15:50;0.0
;Cervera de Pisuerga;Palencia;18.5;14:00;2.5;14:00;0.0
;Aguilar de Campoo;Palencia;15.2;14:10;1.1;14:10;0.0
;Villaeles de Valdavia;Palencia;17.3;14:10;1.4;14:10;0.0
;Velilla del R�o Carri�n, Camporredondo de Alba;Palencia;16.7;13:00;4.6;13:00;0.0
;Carri�n de los Condes;Palencia;19.2;14:40;1.2;14:40;0.0
;Autilla del Pino;Palencia;17.9;15:00;4.8;15:00;0.0
;Palencia;Palencia;18.9;14:50;3.0;14:50;0.0
;Santerv�s de la Vega, Villap�n;Palencia;19.2;14:50;2.0;14:50;0.0
;Silleda;Pontevedra;23.3;15:10;9.9;15:10;0.0
;A Estrada;Pontevedra;21.8;15:30;8.4;15:30;0.0
;Vilagarc�a de Arousa;Pontevedra;23.3;15:30;13.3;15:30;0.0
;Pontevedra;Pontevedra;22.8;13:50;11.2;13:50;0.0
;A Lama;Pontevedra;23.8;14:00;12.5;14:00;0.0
;Vigo;Pontevedra;26.4;14:10;15.3;14:10;0.0
;A Ca�iza;Pontevedra;22.7;14:10;10.6;14:10;0.0
;Ponteareas, Canedo;Pontevedra;26.3;15:50;8.0;15:50;0.0
;O Rosal;Pontevedra;25.9;15:50;15.8;15:50;0.0
;La Covatilla, estaci�n de esqu�;Salamanca;13.5;13:40;5.9;13:40;0.0
;Pedrosillo de Los Aires;Salamanca;19.3;15:50;1.2;15:50;0.0
;Pedraza de Alba;Salamanca;18.6;15:30;-0.8;15:30;0.0
;Salamanca;Salamanca;21.5;15:50;4.4;15:50;0.0
;Barbadillo;Salamanca;20.4;15:00;-0.6;15:00;0.0
;Ledesma;Salamanca;19.6;14:40;3.3;14:40;0.0
;Villarino de los Aires;Salamanca;23.0;16:10;5.2;16:10;0.0
;Boadilla Fuente San Esteban;Salamanca;20.9;15:00;4.4;15:00;0.0
;Vitigudino;Salamanca;23.0;15:00;5.7;15:00;0.0
;El Ma�llo;Salamanca;19.8;14:40;7.3;14:40;0.0
;Ba�ob�rez;Salamanca;21.7;15:30;5.2;15:30;0.0
;Navasfr�as;Salamanca;21.1;15:40;-0.4;15:40;0.0
;El Bod�n Base A�rea;Salamanca;21.3;14:50;3.8;14:50;0.0
;Saelices El Chico;Salamanca;22.5;15:50;6.7;15:50;0.0
;Fresno de Cantespino;Segovia;18.3;15:20;2.3;15:20;0.0
;Aldeanueva de Serrezuela;Segovia;16.5;15:40;4.3;15:40;0.0
;La Pinilla, estaci�n de esqu�;Segovia;14.0;11:50;5.2;11:50;0.0
;Pedraza;Segovia;17.4;15:50;3.6;15:50;0.0
;Cu�llar;Segovia;21.2;15:00;-3.1;15:00;0.0
;Segovia;Segovia;16.8;15:50;4.9;15:50;0.0
;San Rafael;Segovia;16.6;13:40;2.5;13:40;0.0
;Miguela�ez;Segovia;18.8;15:50;2.3;15:50;0.0
;La Roda de Andaluc�a;Sevilla;26.9;15:40;12.1;15:40;0.0
;Lora de Estepa;Sevilla;24.8;16:10;15.1;16:10;0.0
;�cija;Sevilla;27.7;16:10;10.7;16:10;0.0
;La Puebla de los Infantes;Sevilla;27.7;16:30;7.6;16:30;0.0
;Fuentes de Andaluc�a;Sevilla;28.3;16:40;13.6;16:40;0.0
;Carmona;Sevilla;29.4;17:10;12.6;17:10;0.0
;Guadalcanal;Sevilla;24.5;15:20;12.0;15:20;0.0
;Almad�n de la Plata;Sevilla;27.5;16:00;12.1;16:00;0.0
;Sevilla Aeropuerto;Sevilla;29.1;17:00;13.6;17:00;0.0
;Sevilla, Tablada;Sevilla;29.2;16:20;13.6;16:20;0.0
;Mor�n de la Frontera;Sevilla;27.6;16:00;11.2;16:00;0.0
;Carri�n de los C�spedes;Sevilla;27.5;16:50;11.7;16:50;0.0
;Las Cabezas de San Juan;Sevilla;27.0;15:50;13.1;15:50;0.0
;Osuna;Sevilla;26.4;15:40;16.6;15:40;0.0
;Vinuesa, Quintanarejo;Soria;17.8;13:10;3.9;13:10;0.0
;La P�veda de Soria, Barriomart�n;Soria;15.2;12:20;7.0;12:20;0.0
;Soria;Soria;19.8;12:50;8.0;12:50;0.0
;Lubia;Soria;18.8;12:30;2.0;12:30;0.0
;Mor�n de Almaz�n;Soria;19.5;14:10;-1.7;14:10;0.0
;La Riba de Escalote;Soria;18.7;16:00;1.5;16:00;0.0
;Ucero;Soria;19.5;16:10;-2.3;16:10;0.0
;Burgo de Osma;Soria;19.7;15:10;-1.7;15:10;0.0
;Liceras;Soria;17.7;15:00;3.8;15:00;0.0
;�lvega;Soria;14.6;13:20;6.2;13:20;0.0
;San Pedro Manrique;Soria;15.9;12:40;5.9;12:40;0.0
;Arcos de Jal�n;Soria;19.6;14:10;3.2;14:10;0.0
;Almazul;Soria;16.4;12:50;5.9;12:50;0.0
;Puntagorda;Santa Cruz de Tenerife;27.3;14:40;17.3;14:40;0.0
;Tijarafe;Santa Cruz de Tenerife;26.7;14:10;17.8;14:10;0.0
;El Paso;Santa Cruz de Tenerife;26.8;12:30;15.9;12:30;0.0
;Fuencaliente;Santa Cruz de Tenerife;28.4;12:40;21.1;12:40;0.0
;Tazacorte;Santa Cruz de Tenerife;26.8;14:00;20.0;14:00;0.0
;La Palma Aeropuerto;Santa Cruz de Tenerife;26.2;12:20;21.2;12:20;0.0
;San Andr�s y Sauces;Santa Cruz de Tenerife;26.0;11:40;16.6;11:40;0.0
;Vallehermoso, Alto Igualero;Santa Cruz de Tenerife;22.4;12:40;16.0;12:40;0.0
;Agulo;Santa Cruz de Tenerife;28.6;14:20;15.1;14:20;0.0
;Vallehermoso, Dama;Santa Cruz de Tenerife;27.2;10:30;17.0;10:30;0.0
;Hermigua;Santa Cruz de Tenerife;23.3;13:50;16.2;13:50;0.0
;San Sebasti�n de la Gomera;Santa Cruz de Tenerife;26.6;15:00;20.4;15:00;0.0
;La Orotava, Ca�adas Teide;Santa Cruz de Tenerife;20.8;12:00;7.2;12:00;0.0
;Adeje;Santa Cruz de Tenerife;28.7;11:40;18.5;11:40;0.0
;Arico;Santa Cruz de Tenerife;27.0;12:40;17.2;12:40;0.0
;Tenerife Sur Aeropuerto;Santa Cruz de Tenerife;29.3;12:40;20.5;12:40;0.0
;Iza�a;Santa Cruz de Tenerife;17.0;11:40;9.3;11:40;0.0
;Candelaria;Santa Cruz de Tenerife;24.7;10:10;16.0;10:10;0.0
;G��mar;Santa Cruz de Tenerife;24.6;14:00;16.8;14:00;0.0
;San Crist�bal de La Laguna,Llano de los Loros;Santa Cruz de Tenerife;28.9;13:20;15.7;13:20;0.0
